variance,skewness,curtosis,entropy,label,class
-5.2049,7.2589999999999995,0.070827,-7.3004,0,1
1.5077,1.9596,-3.0584,-0.12243,1,1
0.3223,-0.8980799999999999,8.0883,0.69222,0,0
2.6799,3.1349,0.34073000000000003,0.5848899999999999,0,0
-6.9599,8.9931,0.2182,-4.572,0,1
-3.5713,-12.4922,14.8881,-0.47026999999999997,0,1
-1.9922,11.6542,2.6542,-5.2107,0,0
3.2351,9.647,-3.2074,-2.5948,0,0
-3.2051,-0.14279,0.97565,0.045675,0,1
-1.1804,11.5093,0.15565,-6.8194,0,0
1.6799,4.2068,-4.5398,-2.3931,1,1
0.93611,8.6413,-1.6351,-1.3043,0,0
-0.77461,-1.8768,2.4023,1.1319,0,1
-4.8554,-5.9037,10.9818,-0.82199,0,1
2.2429,-4.1427,5.2333,-0.40173000000000003,0,0
-0.9607,2.6963,-3.1226,-1.3121,0,1
-5.525,6.3258,0.8976799999999999,-6.6241,0,1
0.9297,-3.7971,4.6429,-0.2957,0,0
-2.0759,10.8223,2.6439,-4.837,0,0
4.3684,9.6718,-3.9606,-3.1625,0,0
1.3566,4.2358,2.1341,0.3211,0,0
2.0922,-6.81,8.4636,-0.60216,0,0
4.5597,-2.4211,2.6413,1.6168,0,0
3.8027,0.81529,2.1041,1.0245,0,0
-3.9204,4.0723,-0.23678000000000002,-2.1151,1,1
-1.8187,-9.0366,9.0162,-0.12243,0,1
-2.2173,1.4671,-0.7268899999999999,-1.1724,1,1
2.5559,3.3605,2.0321,0.26809,0,0
-1.005,0.08483099999999999,-0.2462,0.45688,0,1
-1.9409,-8.6848,9.155,0.9404899999999999,0,1
-3.7181,-8.5089,12.363,-0.9551799999999999,1,1
3.8644,3.7061,0.70403,0.35214,0,0
1.5673,7.9274,-0.056842,-2.1694,0,0
-0.82601,2.9611,-1.2864,-1.4647,0,1
1.143,0.83391,5.4552,-0.56984,0,0
-1.0833,-0.31246999999999997,1.2815,0.41291000000000005,0,1
-0.10647999999999999,-0.76771,7.7575,0.64179,0,0
4.1373,0.49248000000000003,1.093,1.8276,0,0
-2.8957,-12.0205,11.9149,-2.7552,0,1
0.7057,-5.4981,8.3368,-2.8715,0,0
-0.87834,3.2569999999999997,-3.6778,-3.2944,0,1
-1.5322,-5.0966,6.6779,0.17498,0,1
-2.9662,-10.3257,8.783999999999999,-2.1138,1,1
0.63655,5.2022,-5.2159,-6.1211,0,1
-3.8073,-8.0971,10.1772,0.65084,0,1
-3.1128,-6.841,10.7402,-1.0172,0,1
-2.3242,11.5176,1.8231,-5.375,0,0
-2.3675,-0.43663,1.692,-0.43018,0,1
-5.0477,-5.8023,11.244000000000002,-0.3901,0,1
-1.2369,-1.6906,2.5180000000000002,0.51636,0,1
-3.9297,-6.0816,10.0958,-1.0147,0,1
0.75108,1.9161,-3.1098,-0.20518000000000003,0,1
-2.3629,-0.10554000000000001,1.9336,1.1358,0,1
-1.5228,-6.4789,5.7568,0.87325,1,1
3.6289,0.8132199999999999,1.6277,0.77627,0,0
0.12326,8.9848,-0.9351,-2.4332,0,0
5.8862,5.8747,-2.8167,-0.30086999999999997,0,0
3.4591,11.112,-4.2039,-5.0931,0,0
3.9479,-3.7723,2.883,0.019813,0,0
-3.0193,1.7775,0.73745,-0.45346000000000003,0,1
-1.7599,11.9211,2.6756,-3.3241,0,0
-1.8584,7.886,-1.6643,-1.8384,0,0
-0.7056,8.7241,2.2215,-4.5965,0,0
1.7875,4.78,-5.1362,-3.2362,0,1
0.9829600000000001,3.4226,-3.9692,-1.7116,1,1
-4.2887,-7.8633,11.8387,-1.8978,0,1
0.49571000000000004,10.2243,-1.097,-4.0159,0,0
-2.7611,-10.5099,9.0239,-1.9547,0,1
3.9719,1.0367,0.75973,1.0013,0,0
1.2706,8.035,-0.19651,-2.1888,0,0
-0.2062,9.2207,-3.7044,-6.8103,0,0
3.9292,-2.9156,2.2129,0.30817,0,0
-3.3604,-0.32696,2.1324,0.6017,1,1
-0.3481,-0.38695999999999997,-0.47841000000000006,0.62627,0,1
0.23874,2.0879,-3.3522,-0.6655300000000001,0,1
2.9695,5.6222,0.27560999999999997,-1.1556,0,0
-2.234,-7.0314,7.4936,0.61334,1,1
1.0987,0.6394,5.989,-0.58277,0,0
3.245,6.63,-0.63435,0.8693700000000001,0,0
2.1752,-0.8091,5.1022,-0.67975,0,0
-1.3887,-4.8773,6.4774,0.34179,0,1
-2.6479,10.1374,-1.331,-5.4707,0,0
0.25943,5.0097,-5.0394,-6.3862,0,1
-2.5419,-0.65804,2.6842,1.1952,1,1
4.1605,11.2196,-3.6136,-4.0819,0,0
-0.8172,3.3812,-3.6684,-3.4560000000000004,0,1
1.8314,6.3672,-0.036278,0.049554,0,0
-1.8439,-8.6475,7.6796,-0.66682,1,1
5.3586,3.7557,-1.7345,1.0789,0,0
-1.1313,1.9037,7.5339,1.022,0,0
6.8248,5.2187,-2.5425,0.5461,0,0
-1.3066,0.25244,0.7623,1.7758,0,1
-0.74324,-0.32902,-0.42785,0.23317,0,1
-1.7479,-5.8229999999999995,5.8699,1.212,0,1
-2.8829,3.8964,-0.1888,-1.1672,0,1
0.25035,9.3262,-3.6873,-6.2543,0,0
0.88992,2.2638,-3.1046,-0.11855,0,1
-1.6706,-2.09,1.584,0.71162,0,1
0.22432,-0.52147,-0.40386,1.2017,0,1
-4.8426,-4.9932,10.4052,-0.53104,0,1
4.364,-3.1039,2.3757,0.78532,0,0
1.2198,2.0982,-3.1954,0.12843,0,1
1.8384,6.063,0.54723,0.51248,0,0
0.6212,3.6771,-4.0771,-2.0711,0,1
-4.0786,2.9239,0.87026,-0.65389,0,1
2.8232,10.8513,-3.1466,-3.9784,0,0
-1.3414,-2.0776,2.8093,0.60688,0,1
-0.9358700000000001,-5.1008,4.5367,1.3866,1,1
0.11592000000000001,3.2219,-3.4302,-2.8457,0,1
-2.1674,0.12415,-1.0465,-0.86208,0,1
-4.1429,2.7749,0.68261,-0.7198399999999999,0,1
-3.1875,-7.5756,11.8678,-0.57889,0,1
0.68087,2.3259,4.9085,0.54998,0,0
3.5982,7.1307,-1.3035,0.21248000000000003,0,0
4.4069,10.9072,-4.5775,-4.4271,0,0
4.1962,0.74493,0.8325600000000001,0.753,0,0
1.1811,8.3847,-2.0567,-0.90345,0,0
-1.5877,-6.6072,5.8022,0.31593000000000004,0,1
4.0026,-3.5943,3.5573,0.26809,0,0
4.8272,3.0687,0.68604,0.8073100000000001,0,0
0.0096613,3.5612,-4.407,-4.4103,1,1
1.8238,-6.7748,8.3873,-0.5413899999999999,0,0
3.8962,-4.7904,3.3954,-0.53751,0,0
-2.8989999999999996,-0.60424,2.6045,1.3776,0,1
-1.0941,2.3072,-2.5237,-1.4453,0,1
2.4287,9.3821,-3.2477,-1.4543,0,0
3.8999,1.734,1.6011,0.96765,0,0
-3.3458,-0.5049100000000001,2.6328,0.53705,1,1
2.9163,10.8306,-3.3437,-4.122,0,0
3.0672,-4.4117,3.8238,-0.81682,0,0
1.5904,2.2121,-3.1183,-0.11725,0,1
-1.7344,2.0175,7.7618,0.93532,0,0
2.4859999999999998,-0.9953299999999999,5.3404,-0.15475,0,0
-4.577,3.4515,0.66719,-0.94742,0,1
-2.2617,-4.7428,6.3489,0.11162000000000001,0,1
4.052,-0.16555,0.45383,0.51248,0,0
2.0177,1.7982,-2.9581,0.2099,0,1
2.2928,9.0386,-3.2417,-1.2991,0,0
-2.6685,-10.4519,9.1139,-1.7323,0,1
0.051979,7.0521,-2.0541,-3.1508,0,0
0.74307,11.17,-1.3824,-4.0728,0,0
-0.8980899999999999,-4.4862,2.2009,0.50731,0,1
1.7619999999999998,4.3682,2.1384,0.75429,0,0
2.5635,6.7769,-0.61979,0.38576,0,0
3.0242,-3.3378,2.5865,-0.54785,0,0
3.3583,10.3567,-3.7301,-3.6991,0,0
-6.1536,7.9295,0.61663,-3.2646,0,1
4.8368,10.0132,-4.3239,-4.3276,0,0
3.7439999999999998,0.79459,0.9585100000000001,1.0077,0,0
-1.5219999999999998,-6.6383,5.7491,-0.10690999999999999,0,1
-0.52645,-0.24831999999999999,-0.45613000000000004,0.41938000000000003,1,1
1.6408,4.2503,-4.9023,-2.6621,1,1
3.6922,-3.9585,4.3439,1.3517,0,0
-2.4561,-4.5566,6.4534,-0.056478999999999994,0,1
-6.3979,6.4479,1.0836,-6.6176,0,1
-2.3277,1.4381,-0.82114,-1.2862,0,1
4.8278,7.7598,-2.4491,-1.2216,0,0
-0.98193,2.7956,-1.2341,-1.5668,0,1
2.5089,6.841,-0.029423,0.44911999999999996,0,0
1.8799,2.4707,2.4931,0.37671,0,0
2.3164,-2.628,3.1529,-0.08622,0,0
5.0185,8.5978,-2.9375,-1.281,0,0
5.504,10.3671,-4.413,-4.0211,0,0
-2.4365,3.6026,-1.4166,-2.8948,0,1
4.5447,8.2274,-2.4166,-1.5875,0,0
-1.7322,-9.2828,7.718999999999999,-1.7168,0,1
-6.5235,9.6014,-0.25392,-6.9642,0,1
-3.3924,3.3564,-0.72004,-3.5233,1,1
2.5328,7.528,-0.41928999999999994,-2.6478,0,0
3.7569999999999997,-5.4236,3.8255,-1.2526,0,0
1.0182,9.109,-0.62064,-1.7129,0,0
-0.036127,1.525,-1.4089,-0.76121,1,1
-2.3142,-0.68494,1.9833,-0.44828999999999997,0,1
0.15423,0.11794,-1.6823,0.59524,0,1
3.4893,6.69,-1.2042,-0.38750999999999997,0,0
-4.9447,3.3005,1.063,-1.444,0,1
1.8114,7.6067,-0.9788,-2.4668,0,0
-3.2778,1.8023,0.1805,-2.3931,0,1
2.6881,6.0195,-0.46641000000000005,-0.6926800000000001,0,0
0.80355,2.8473,4.3439,0.6017,0,0
-3.5801,-12.9309,13.1779,-2.5677,0,1
-1.4275,11.8797,0.41613,-6.9978,0,0
-3.3863,-12.9889,13.0545,-2.7202,1,1
2.1721,-0.73874,5.4672,-0.7237100000000001,0,0
1.0637,3.6957,-4.1594,-1.9379,0,1
-2.1668,1.5933,0.045122,-1.6780000000000002,0,1
1.8533,6.1458,1.0176,-2.0401,0,0
0.3798,0.7098,0.7572,-0.4444,0,0
4.2134,-2.806,2.0116,0.6741199999999999,0,0
-4.3967,4.9601,-0.6489199999999999,-5.4719,0,1
-0.6987899999999999,-3.3771,4.1211,1.5043,0,1
1.2572,4.8731,-5.2861,-5.8741,0,1
0.11805999999999998,0.39108000000000004,-0.9822299999999999,0.42843000000000003,0,1
-3.4083,4.8587,-0.76888,-4.8668,0,1
5.0617,-0.35799000000000003,0.44698000000000004,0.9986799999999999,0,0
-0.76794,3.4598,-3.4405,-3.4276,0,1
0.33565,6.8369,0.69718,-0.55691,0,0
2.4527,2.9653,0.20021,-0.056478999999999994,0,0
4.1927,-3.2674,2.5839,0.21766,0,0
0.59823,3.5012,-3.9795,-1.7841,0,1
1.3087,4.9228,2.0013,0.22024000000000002,0,0
-3.4605,2.6901,0.16165,-1.0224,0,1
5.2620000000000005,3.9834,-1.5572,1.0103,0,0
0.86816,10.2429,-1.4912,-4.0082,0,0
-1.3274,9.498,2.4408,-5.2689,0,0
-0.66008,-3.2260000000000004,3.8058,1.1836,0,1
3.1060000000000003,9.5414,-4.2536,-4.003,0,0
-2.7338,0.45523,2.4391,0.21766,1,1
3.6667,4.302,0.55923,0.33791,0,0
-1.1005,-7.2508,6.0139,0.36895,0,1
-1.8554,-9.6035,7.7764,-0.97716,1,1
-0.9131799999999999,-2.0113,-0.19565,0.066365,1,1
0.3292,-4.4552,4.5718,-0.9888,0,0
1.3264,1.0326,5.6566,-0.41336999999999996,0,0
-0.7869,9.5663,-3.7867,-7.5034,0,0
0.48796999999999996,3.5674,-4.3882,-3.8116,0,1
2.2546,8.0992,-0.24877,-3.2698,0,0
0.007124899999999999,8.3661,0.50781,-3.8155,0,0
1.5268,-5.5871,8.6564,-1.722,0,0
5.4188,10.1457,-4.084,-3.6991,0,0
3.5912,3.0129,0.72888,0.56421,0,0
1.0117,0.9022,-2.3506,0.42713999999999996,1,1
-0.55648,3.2136,-3.3085,-2.7965,0,1
-6.7387,6.9879,0.67833,-7.5887,0,1
0.38478,6.5989,-0.3336,-0.56466,0,0
-4.8861,7.0542,-0.17252,-6.959,0,1
-1.3885,12.5026,0.69118,-7.5487,0,0
-1.0116,-0.19038,-0.90597,0.003003,1,1
2.6682,10.216000000000001,-3.4414,-4.0069,0,0
3.4092,5.4049,-2.5228,-0.8995799999999999,0,0
-2.2811,-0.85669,2.7185,0.044382,0,1
-2.8833,1.7713,0.6894600000000001,-0.4638,0,1
-2.4458,1.6285,-0.88541,-1.4802,0,1
-1.8974,3.5074,-1.7842,-3.8491,1,1
3.8496,9.7939,-4.1508,-4.4582,0,0
1.4501,3.6067,-4.0557,-1.5966,0,1
2.1274,5.1939,-1.7971,-1.1763,0,0
-2.1241,-6.8969,5.5992,-0.47156000000000003,0,1
0.5706,-0.0248,1.2421,-0.5621,0,0
4.7432,2.1086,0.1368,1.6543,0,0
-1.3659999999999999,0.18416,0.9053899999999999,1.5806,0,1
-1.7582,2.7397,-2.5323,-2.234,0,1
-1.8348,11.0334,3.1863,-4.8888,0,0
6.0919,2.9673,-1.3267,1.4551,0,0
-1.8411,10.8306,2.7689999999999997,-3.0901,0,0
-0.21394000000000002,-0.68287,0.096532,1.1965,0,1
3.7791,2.5762,1.3098,0.5655,0,0
-2.2482,3.0915,-2.3969,-2.6711,1,1
-1.3931,1.5664,7.5382,0.78403,0,0
2.3925,9.798,-3.0361,-2.8224,0,0
1.4507,8.7903,-2.2324,-0.65259,0,0
0.5415,6.0319,1.6825,-0.46121999999999996,0,0
-2.6864,-0.097265,0.61663,0.061191999999999996,0,1
-4.1409,3.4619,-0.47841000000000006,-3.8879,0,1
-1.3907,-1.3781,2.3055,-0.021566,0,1
-0.94255,0.039307,-0.24191999999999997,0.31593000000000004,0,1
4.0296,2.6756,0.80685,0.7167899999999999,0,0
-1.2943,2.6735,-0.84085,-2.0323,0,1
-1.5768,10.843,2.5462,-2.9362,0,0
-4.0218,-8.304,12.555,-1.5099,1,1
2.0007,1.8644,2.6491,0.47368999999999994,0,0
0.025013,3.3998,-4.4327,-4.2655,0,1
2.9719,6.8369,-0.2702,0.71291,0,0
1.3638,-4.7759,8.4182,-1.8836,0,0
-2.1405,-0.16762,1.321,-0.20906,0,1
3.2692,3.4184,0.20706,-0.066824,0,0
0.6818,4.8504,-5.2133,-6.1043,0,1
1.8664,7.7763,-0.23849,-2.9634,0,0
-2.1979,-2.1252,1.7151,0.45171000000000006,0,1
3.4647,-3.9172,3.9746,0.36119,0,0
1.5799,-4.7076,7.9186,-1.5487,0,0
-1.0802,2.1996,-2.5862,-1.2759,0,1
0.6005,1.9327,-3.2888,-0.32415,0,1
-4.6338,-12.7509,16.7166,-3.2168,0,1
0.5593899999999999,-0.3104,0.18307,0.44653000000000004,0,1
-2.7264,3.9213,-0.49212,-3.6371,0,1
2.3678,-6.8389999999999995,8.4207,-0.44828999999999997,0,0
2.8523,9.0096,-3.761,-3.3371,0,0
-1.9667,11.8052,-0.40471999999999997,-7.8719,0,0
-5.4901,9.1048,-0.38758000000000004,-5.9763,0,1
2.7961,2.121,1.8385,0.38316999999999996,0,0
3.3848,3.2674,0.9096700000000001,0.25128,0,0
-1.7697,3.4329,-1.2144,-2.3789,0,1
1.5631,0.89599,-1.9702,0.65472,0,1
-1.2244,1.7485,-1.4801,-1.4181,0,1
-3.8203,-13.0551,16.9583,-2.3052,1,1
-0.2361,9.3221,2.1307,-4.3793,0,0
-2.456,-0.24418,1.4041,-0.45863000000000004,0,1
4.4549,2.4976,1.0313,0.9689399999999999,0,0
-1.9551,-6.9756,5.5383,-0.12889,0,1
-5.0676,-5.1877,10.4266,-0.86725,0,1
4.3634,0.46351000000000003,1.4281,2.0202,0,0
-2.343,12.9516,3.3285,-5.9426,0,0
-0.9592299999999999,-6.7128,4.9857,0.32886,0,1
-2.0336,-1.4092,1.1582,0.36507,0,1
-1.7064,3.3088,-2.2829,-2.1978,0,1
0.27451,9.2186,-3.2863,-4.8448,0,0
3.9232,-3.2467,3.4579,0.83705,0,0
-0.64472,-4.6062,8.347000000000001,-2.7099,0,0
-3.9411,-12.8792,13.0597,-3.3125,1,1
-0.69745,-1.7672,-0.34474,-0.12372000000000001,1,1
0.77805,6.6424,-1.1425,-1.0573,0,0
3.9262,6.0299,-2.0156,-0.06553099999999999,0,0
-4.3773,-5.5167,10.939,-0.4082,0,1
0.066129,2.4914,-2.9401,-0.62156,0,1
-1.0555,0.79459,-1.6968,-0.46768000000000004,0,1
0.3292,-4.4552,4.5718,-0.9888,0,0
3.6575,7.2797,-2.2692,-1.1440000000000001,0,0
-0.023579,7.1742,0.78457,-0.75734,0,0
-2.5701,-6.8452,8.9999,2.1353,1,1
2.0153,0.43661000000000005,4.5864,-0.3151,0,0
-2.5373,-6.959,8.8054,1.5289,0,1
-0.062025,6.1975,1.099,-1.131,0,0
-1.9116,-6.1603,5.606,0.48533000000000004,1,1
-1.6662,-0.30005,1.4238,0.024986,0,1
0.4283,-0.94981,-1.0731,0.3211,0,1
0.89512,4.7738,-4.8431,-5.5909,0,1
1.594,4.7055,1.3758,0.08188200000000001,0,0
-0.45061999999999997,-1.3678,7.0858,-0.40303,0,0
-0.38214000000000004,8.3909,2.1624,-3.7405,0,0
-0.59587,2.4811,-2.8673,-0.89828,0,1
-2.4824,-7.3046,6.8389999999999995,-0.59053,1,1
0.94225,5.8561,1.8762,-0.32544,0,0
1.1588,8.9331,-2.0807,-1.1272,0,0
4.1349,6.1189,-2.4294,-0.19613,0,0
0.94732,-0.57113,7.1903,-0.67587,0,0
3.1887,-3.4143,2.7742,-0.2026,0,0
-3.0,-9.1566,9.5766,-0.73018,0,1
-6.0598,9.2952,-0.43642,-6.3694,1,1
4.0680000000000005,-2.9363,2.1992,0.50084,0,0
-0.014902,-1.0243,-0.94024,0.64955,0,1
5.2423,11.0272,-4.353,-4.1013,0,0
0.19080999999999998,9.1297,-3.725,-5.8224,0,0
1.0652,8.3682,-1.4004,-1.6509,0,0
1.645,7.8612,-0.87598,-3.5569,0,0
-2.7914,1.7734,6.7756,-0.39915,0,0
-3.8894,-7.8322,9.8208,0.47498,0,1
1.6349,3.286,2.8753,0.08705399999999999,0,0
-2.2083,-9.1069,8.9991,-0.28406,0,1
-2.9019999999999997,-7.6563,11.8318,-0.8426799999999999,0,1
-0.16108,-6.4624,8.3573,-1.5216,0,0
-0.55008,2.8659,-1.6488,-2.4319,0,1
1.3403,4.1323,-4.7018,-2.5987,1,1
-6.4247,9.5311,0.022844,-6.8517,0,1
-0.40857,3.0977,-2.9607,-2.6892,0,1
0.39011999999999997,-0.14279,-0.031994,0.35084,0,1
-1.1306,1.8458,-1.3575,-1.3806,0,1
2.031,1.8519999999999999,-3.0121,0.003003,0,1
-1.682,-6.8121,7.1398,1.3323,0,1
-0.63298,-5.1277,4.5624,1.4797,0,1
5.7403,-0.44283999999999996,0.38015,1.3763,0,0
3.2051,8.6889,-2.9033,-0.7819,0,0
1.3754,8.8793,-1.9136,-0.53751,0,0
-1.3,10.2678,-2.9530000000000003,-5.8638,0,0
2.1943,4.5503,-4.976,-2.7254,1,1
0.18868,0.70148,-0.5118199999999999,0.0055892,0,1
3.4985,3.1639,0.22676999999999997,-0.1651,0,0
-1.7263,-6.0237,5.2419,0.29524,0,1
5.681,7.795,-2.6848,-0.9254399999999999,0,0
1.4806,7.6377,-2.7876,-1.0341,0,0
-1.1859,-1.2519,2.2635,0.7723899999999999,0,1
0.5623199999999999,1.0015,-2.2726,-0.0060486,0,1
-0.24745,1.9368,-2.4697,-0.80518,0,1
1.3183,1.9017,-3.3111,0.065071,0,1
-1.48,-10.5244,9.9176,-0.5026,0,1
-4.2091,4.7283,-0.49126000000000003,-5.2159,0,1
0.7376,4.8525,-4.7986,-5.6659,0,1
5.9374,6.1664,-2.5905,-0.36553,0,0
5.6272,10.0857,-4.2931,-3.8142,0,0
0.518,0.25865,-0.84085,0.9611799999999999,0,1
0.24835,7.6439,0.9885,-0.87371,0,0
3.1219,-3.137,1.9259,-0.37458,0,0
-7.0421,9.2,0.25933,-4.6832,0,1
0.14329,-1.0885,1.0039,0.48791,1,1
2.9571,-4.5938,5.9068,0.57196,0,0
-2.2804,-0.30626,1.3347,1.3763,0,1
-1.9423,0.3766,-1.2898,-0.82458,0,1
1.1166,8.6496,-0.96252,-1.8112,0,0
-0.49241,0.89392,-1.6283,-0.5685399999999999,0,1
4.6352,-3.0087,2.6773,1.212,0,0
4.0948,-2.9674,2.3689,0.75429,0,0
-3.3125,0.10139,0.55323,-0.2957,0,1
5.7353,5.2808,-2.2598,0.075416,0,0
4.1757,10.2615,-3.8552,-4.3056,0,0
-1.8343,-6.5907,5.6429,0.54998,0,1
3.3669,-5.1856,3.6935,-1.1427,0,0
-3.5916,-6.2285,10.2389,-1.1543,0,1
-3.0201,-0.6725300000000001,2.7056,0.85774,0,1
2.4486,-6.3175,7.9632,0.20601999999999998,0,0
0.96788,7.1907,1.2798,-2.4565,0,0
0.75736,3.0294,2.9164,-0.068117,0,0
2.6917,10.8161,-3.3,-4.2888,0,0
3.7352,9.5911,-3.9032,-3.3487,0,0
-0.2062,9.2207,-3.7044,-6.8103,0,0
-1.9725,2.8825,-2.3086,-2.3724,0,1
-0.24036999999999997,-1.7837,2.135,1.2418,0,1
-0.10234,1.8189,-2.2169,-0.56725,0,1
2.4196,6.4665,-0.75688,0.228,0,0
1.3234,3.2964,0.2362,-0.11984000000000002,0,0
4.0552,-2.4583,2.2806,1.0323,0,0
-2.1802,3.3791,-1.2256,-2.6621,0,1
0.50813,0.47798999999999997,-1.9804,0.57714,0,1
0.9670799999999999,3.8426,-4.9314,-4.1323,1,1
-1.239,-6.541,4.8151,-0.033204000000000004,1,1
3.1088,3.1122,0.80857,0.4336,0,0
-0.8734,-0.033118,-0.20165,0.55774,0,1
5.6084,10.3009,-4.8003,-4.3534,0,0
-1.8448,1.254,0.27218000000000003,-1.0728,0,1
3.0948,8.7324,-2.9007,-0.9668200000000001,0,0
1.0552,1.1857,-2.6411,0.11033,0,1
0.38251,6.8121,1.8128,-0.61251,0,0
1.5356,9.1772,-2.2718,-0.73535,0,0
-2.3211,3.1660000000000004,-1.0002,-2.7151,0,1
-0.7149399999999999,-4.4448,2.2241,0.49826000000000004,0,1
-0.47465,-4.3496,1.9901,0.7517,1,1
-3.6085,3.3253,-0.51954,-3.5737,1,1
1.7747,-6.4334,8.15,-0.89828,0,0
-3.8483,-12.8047,15.6824,-1.281,0,1
5.0452,3.8964,-1.4304,0.8629100000000001,0,0
-0.11715999999999999,0.60422,-0.38587,-0.059065,1,1
-4.2333,4.9166,-0.49212,-5.3207,0,1
-4.2859,8.5234,3.1392,-0.9163899999999999,0,0
-0.8734,1.6533,-2.1964,-0.78061,0,1
3.6894,9.887,-4.0788,-4.3664,0,0
-0.36025,-4.449,2.1067,0.9430799999999999,0,1
-2.0441,1.2271,0.18564,-1.091,0,1
-2.2623,12.1177,0.28846,-7.7581,0,0
-0.37013,-5.553999999999999,4.7749,1.547,1,1
-5.4808,8.1819,0.27818000000000004,-5.0323,0,1
-1.7549,-0.080711,-0.75774,-0.3707,0,1
-1.0401,9.3987,0.85998,-5.3336,0,0
-1.979,3.2301,-1.3575,-2.5819,0,1
-0.21661,8.0329,1.8848,-3.8853,0,0
-1.1391,1.8127,6.9144,0.70127,0,0
3.0329,2.2948,2.1135,0.35084,0,0
1.3518,1.0595,-2.3437,0.39998,0,1
-0.11782999999999999,-1.5789,8.03,-0.028031,0,0
2.1616,-6.8804,8.1517,-0.081048,0,0
1.5456,8.5482,0.4187,-2.1784,0,0
4.0422,-4.391,4.7466,1.137,0,0
-1.9555,0.20692,1.2473,-0.3707,0,1
4.7965,6.9859,-1.9967,-0.35001,0,0
-1.5851,-2.1562,1.7082,0.9017,1,1
3.8023,-3.8696,4.044,0.9534299999999999,0,0
0.30080999999999997,0.17381,-1.7542,0.48921000000000003,0,1
4.8906,-3.3584,3.4202,1.0905,0,0
-0.65767,-2.8018,3.7115,0.99739,1,1
-0.90784,-7.9026,6.7807,0.34179,0,1
-3.0731,-0.53181,2.3877,0.77627,0,1
0.83625,1.1071,-2.4706,-0.062945,0,1
0.5706,-0.024841,1.2421,-0.56208,0,0
3.7767,9.7794,-3.9075,-3.5323,0,0
3.6077,6.8576,-1.1622,0.28231,0,0
4.2475,1.4816,-0.48355,0.9534299999999999,0,0
-1.786,-8.1157,7.0858,-1.2112,0,1
0.21431,-0.69529,0.8771100000000001,0.29653,0,1
2.3917,4.5565,-4.9888,-2.8987,0,1
4.9249,0.68906,0.77344,1.2095,0,0
2.5605,9.2683,-3.5913,-1.3559999999999999,0,0
5.1321,-0.031048000000000003,0.32616,1.1151,0,0
-2.0046,-0.49456999999999995,1.3330000000000002,1.6543,0,1
-0.64326,2.4748,-2.9452,-1.0276,0,1
-2.8391,-6.63,10.4849,-0.42113,0,1
-3.0265,-0.062088,0.68604,-0.055186,1,1
3.9529,-2.3548,2.3792,0.48273999999999995,0,0
-1.8584,7.886,-1.6643,-1.8384,0,0
0.0031201000000000002,-4.0061,1.7956,0.91722,0,1
0.9297,-3.7971,4.6429,-0.2957,0,0
1.2746,8.8172,-1.5323,-1.7957,0,0
0.33111,4.5731,2.057,-0.18967,0,0
0.5195,-3.2633,3.0895,-0.9849,0,0
0.7406699999999999,1.7299,-3.1963,-0.1457,0,1
2.2279,4.0951,-4.8037,-2.1112,0,1
0.96414,5.6160000000000005,2.2138,-0.12500999999999998,0,0
5.4021,3.1039,-1.1536,1.5651,0,0
2.2634,-4.4862,3.6558,-0.61251,0,0
1.7425,3.6833,-4.0129,-1.7207,0,1
-3.551,1.8955,0.1865,-2.4409,0,1
